task_category,task_id,task_completion_rate,precision,recall,f1_score,prompt_tokens,completion_tokens,execution_time_seconds,total_tool_calls,search_tool_calls,cart_tool_calls,checkout_tool_calls,evaluation_strategy,checkout_successful,error_occurred
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task1,1,1.0,1.0,1.0,63476,316,23.834914922714233,4,4,0,0,search_only,False,False
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task2,1,1.0,1.0,1.0,50480,344,13.531793117523193,4,4,0,0,search_only,False,False
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task3,1,1.0,1.0,1.0,71351,486,20.19905996322632,8,8,0,0,search_only,False,False
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task4,1,1.0,1.0,1.0,22549,399,11.45872712135315,4,4,0,0,search_only,False,False
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task5,1,1.0,1.0,1.0,53245,370,13.3593168258667,4,4,0,0,search_only,False,False
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task6,0,0.9,0.8181818181818182,0.8571428571428572,46018,936,23.972737073898315,4,4,0,0,search_only,False,False
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task7,1,1.0,1.0,1.0,22534,357,16.237528800964355,4,4,0,0,search_only,False,False
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task8,1,1.0,1.0,1.0,47200,407,15.108479022979736,4,4,0,0,search_only,False,False
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task9,1,1.0,1.0,1.0,51711,367,12.34954285621643,4,4,0,0,search_only,False,False
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task10,1,1.0,1.0,1.0,48278,375,15.745593070983887,4,4,0,0,search_only,False,False
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task11,1,1.0,1.0,1.0,44407,374,12.602781057357788,4,4,0,0,search_only,False,False
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task12,1,1.0,1.0,1.0,45629,452,13.322774887084961,4,4,0,0,search_only,False,False
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task1,0,0.6666666666666666,1.0,0.8,52099,407,16.077260971069336,5,4,0,0,search_only,False,False
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task2,0,0.42857142857142855,0.75,0.5454545454545454,58155,611,16.315871000289917,4,4,0,0,search_only,False,False
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task3,1,1.0,1.0,1.0,21775,354,13.091645240783691,4,4,0,0,search_only,False,False
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task4,0,0.5,1.0,0.6666666666666666,44134,401,12.281390190124512,4,4,0,0,search_only,False,False
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task5,1,1.0,1.0,1.0,44454,292,11.516514778137207,4,4,0,0,search_only,False,False
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task6,0,0.6666666666666666,1.0,0.8,32931,440,13.289520978927612,4,4,0,0,search_only,False,False
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task7,0,0.0,0.0,0.0,35265,241,10.37973690032959,4,4,0,0,search_only,False,False
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task8,1,1.0,1.0,1.0,48106,370,12.615732192993164,4,4,0,0,search_only,False,False
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task9,1,1.0,1.0,1.0,44080,364,12.240504026412964,4,4,0,0,search_only,False,False
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task10,0,0.3333333333333333,1.0,0.5,45336,376,12.361587047576904,4,4,0,0,search_only,False,False
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task1,0,0.25,1.0,0.4,29484,598,19.417932748794556,4,4,0,0,search_only,False,False
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task2,1,1.0,1.0,1.0,56185,429,19.045753002166748,4,4,0,0,search_only,False,False
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task3,1,1.0,1.0,1.0,46374,362,12.2620370388031,4,4,0,0,search_only,False,False
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task4,0,0.5789473684210527,1.0,0.7333333333333334,97700,1467,40.14061117172241,4,4,0,0,search_only,False,False
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task5,1,1.0,1.0,1.0,45968,502,14.710678815841675,4,4,0,0,search_only,False,False
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task6,1,1.0,1.0,1.0,29077,322,10.076591968536377,4,4,0,0,search_only,False,False
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task7,1,1.0,1.0,1.0,57010,410,14.37464714050293,4,4,0,0,search_only,False,False
