task_id,task_category,type,url,seen_in_history,model,agent_type,task_description,error_category,severity_level,analysis_note,product_name
Webmall_Add_To_Cart_Task3,Add_To_Cart,additional,https://webmall-4.informatik.uni-mannheim.de/product/samsung-16gb-ddr5-4800mhz-udimm-desktop-ram,N/A,GPT-4.1,MCP,<task>\nFind all offers for Kingston Fury Beast 16GB DDR5 and add each of them to the respective shopping cart of the shop where you found the offer.\n</task>,Wrong_brand,2,"Chosen product is Samsung 16GB DDR5 UDIMM instead of Kingston Fury Beast 16GB DDR5. Brand/model mismatch; also differs in key specs (NON-ECC, missing XMP/EXPO/PMIC), so it does not satisfy the specific Kingston Fury Beast offers.",Samsung 16GB DDR5-4800MHz UDIMM Desktop RAM
Webmall_Add_To_Cart_Task5,Webmall_Add_To_Cart,additional,https://webmall-1.informatik.uni-mannheim.de/product/asus-dual-rtx4070-super-evo-oc-pcie4-12gb-ddr6x-hdmi-3-dp-2550mhz-clock-overclocked-white,N/A,GPT-4.1,RAG,\nFind all offers for the Asus DUAL RTX4070 SUPER OC White and add each of them to the respective shopping cart of the shop where you found the offer.\n,Incorrect_product_variant,2,"The found listing is the Asus DUAL RTX4070 SUPER EVO OC White, not the requested DUAL RTX4070 SUPER OC White (non-EVO) variant. While core specs match, it is a different sub-model/SKU and is also more expensive (699.99 vs 599.99).","Asus DUAL RTX4070 SUPER EVO OC, PCIe4, 12GB DDR6X, HDMI, 3 DP, 2550MHz Clock, Overclocked, White"
Webmall_Add_To_Cart_Task5,Webmall_Add_To_Cart,additional,https://webmall-1.informatik.uni-mannheim.de/product/asus-dual-rtx4070-super-evo-oc-pcie4-12gb-ddr6x-hdmi-3-dp-2550mhz-clock-overclocked-white,N/A,Sonnet,RAG,\nFind all offers for the Asus DUAL RTX4070 SUPER OC White and add each of them to the respective shopping cart of the shop where you found the offer.\n,Incorrect_product_variant,2,"The found item is the Asus DUAL RTX4070 SUPER EVO OC White, which is a different variant from the requested Asus DUAL RTX4070 SUPER OC White. The EVO sub-variant typically has a different cooler/shroud and dimensions. Additionally, the found price is higher (699.99) than the correct offer (599.99). Brand, GPU, and core specs match, but the model/variant does not.","Asus DUAL RTX4070 SUPER EVO OC, PCIe4, 12GB DDR6X, HDMI, 3 DP, 2550MHz Clock, Overclocked, White"
Webmall_Add_To_Cart_Task5,Add_To_Cart,additional,https://webmall-1.informatik.uni-mannheim.de/product/asus-dual-rtx4070-super-evo-oc-pcie4-12gb-ddr6x-hdmi-3-dp-2550mhz-clock-overclocked-white,N/A,GPT-4.1,NLWeb,<task>\nFind all offers for the Asus DUAL RTX4070 SUPER OC White and add each of them to the respective shopping cart of the shop where you found the offer.\n</task>,Incorrect_product_variant,2,"The found item is the Asus DUAL RTX4070 SUPER EVO OC White, not the specified OC White (non‑EVO) variant. While core specs match, it’s a different SKU/variant and is also priced higher (699.99 vs 599.99).","Asus DUAL RTX4070 SUPER EVO OC, PCIe4, 12GB DDR6X, HDMI, 3 DP, 2550MHz Clock, Overclocked, White"
Webmall_Add_To_Cart_Task5,Add_To_Cart,additional,https://webmall-1.informatik.uni-mannheim.de/product/asus-dual-rtx4070-super-evo-oc-pcie4-12gb-ddr6x-hdmi-3-dp-2550mhz-clock-overclocked-white,N/A,Sonnet,NLWeb,<task>\nFind all offers for the Asus DUAL RTX4070 SUPER OC White and add each of them to the respective shopping cart of the shop where you found the offer.\n</task>,Incorrect_product_variant,2,Selected the ASUS Dual RTX 4070 SUPER EVO OC White instead of the requested ASUS Dual RTX 4070 SUPER OC White (non-EVO). This is a different variant/model and is also priced higher (699.99 vs 599.99).,"Asus DUAL RTX4070 SUPER EVO OC, PCIe4, 12GB DDR6X, HDMI, 3 DP, 2550MHz Clock, Overclocked, White"
Webmall_Add_To_Cart_Task5,Add_To_Cart,additional,https://webmall-1.informatik.uni-mannheim.de/product/asus-dual-rtx4070-super-evo-oc-pcie4-12gb-ddr6x-hdmi-3-dp-2550mhz-clock-overclocked-white,N/A,GPT-4.1,MCP,<task>\nFind all offers for the Asus DUAL RTX4070 SUPER OC White and add each of them to the respective shopping cart of the shop where you found the offer.\n</task>,Incorrect_product_variant,2,"Chosen product is the ASUS Dual RTX 4070 Super EVO OC White instead of the requested Dual RTX 4070 Super OC White (non-EVO). Although core specs align, EVO is a different variant and the price is higher (699.99 vs 599.99), so it is not the exact requested offer.","Asus DUAL RTX4070 SUPER EVO OC, PCIe4, 12GB DDR6X, HDMI, 3 DP, 2550MHz Clock, Overclocked, White"
Webmall_Add_To_Cart_Task5,Add_To_Cart,additional,https://webmall-1.informatik.uni-mannheim.de/product/asus-dual-rtx4070-super-evo-oc-pcie4-12gb-ddr6x-hdmi-3-dp-2550mhz-clock-overclocked-white,N/A,Sonnet,MCP,<task>\nFind all offers for the Asus DUAL RTX4070 SUPER OC White and add each of them to the respective shopping cart of the shop where you found the offer.\n</task>,Incorrect_product_variant,2,"The found item is the Asus DUAL RTX4070 SUPER EVO OC White, which is a different variant/SKU from the requested Asus DUAL RTX4070 SUPER OC White. Although core specs match, the model line (EVO vs non-EVO) differs, and the found price is higher (699.99 vs 599.99).","Asus DUAL RTX4070 SUPER EVO OC, PCIe4, 12GB DDR6X, HDMI, 3 DP, 2550MHz Clock, Overclocked, White"
Webmall_Add_To_Cart_Task7,Add_To_Cart,additional,https://webmall-1.informatik.uni-mannheim.de/product/antec-c8-aluminium-gaming-case-w-glass-side-front-e-atx-dual-chamber-mesh-panels-usb-c-white,N/A,GPT-4.1,MCP,<task>\nFind all offers for the Antec C8 ARGB Gaming Case and add each of them to the respective shopping cart of the shop where you found the offer.\n</task>,Incorrect_product_variant,2,"The found product is the non-ARGB Antec C8 Aluminium case, lacking the 3x ARGB fans and ARGB PWM fan hub required for the Antec C8 ARGB (Black/White) variants. While the price and general model family match, it is the wrong variant and would not meet the ARGB specification.","Antec C8 Aluminium Gaming Case w/ Glass Side &amp; Front, E-ATX, Dual Chamber, Mesh Panels, USB-C, White"
Webmall_Add_To_Cart_Task7,Add_To_Cart,additional,https://webmall-1.informatik.uni-mannheim.de/product/antec-c8-gaming-case-w-glass-side-front-e-atx-dual-chamber-mesh-panels-usb-c-white,N/A,GPT-4.1,MCP,<task>\nFind all offers for the Antec C8 ARGB Gaming Case and add each of them to the respective shopping cart of the shop where you found the offer.\n</task>,Incorrect_product_variant,2,"Selected the non-ARGB Antec C8 case instead of the Antec C8 ARGB model. It lacks the 3x ARGB fans and ARGB PWM hub, and the price (89.99) doesn't match the ARGB offers (99.99). Also only the white listing was found, while both black and white ARGB offers are required.","Antec C8 Gaming Case w/ Glass Side &amp; Front, E-ATX, Dual Chamber, Mesh Panels, USB-C, White"
Webmall_Add_To_Cart_Task7,Webmall_Add_To_Cart,additional,https://webmall-2.informatik.uni-mannheim.de/product/antec-c8-gaming-case-w-glass-side-amp-front-e-atx-dual-chamber-mesh-panels-usb-c-black,N/A,GPT-4.1,RAG,\nFind all offers for the Antec C8 ARGB Gaming Case and add each of them to the respective shopping cart of the shop where you found the offer.\n,Incorrect_product_variant,2,"The result is the non-ARGB Antec C8, missing the 3x ARGB fans and ARGB PWM hub specified in the ARGB models. It also shows a lower price (86.14 vs 99.99), indicating the wrong, cheaper variant. The correct products are the ARGB Black and ARGB White versions at 99.99.","Antec C8 Gaming Case w/ Glass Side &amp;amp; Front, E-ATX, Dual Chamber, Mesh Panels, USB-C, Black"
